vd_dc, vg_dc, freq, i_ds (ac)
0.000,0.500,1.259 MHz,4.200E-11
0.000,0.500,1.585 MHz,5.286E-11
0.000,0.500,1.995 MHz,6.654E-11
0.000,0.500,2.512 MHz,8.376E-11
0.000,0.500,3.162 MHz,1.054E-10
0.000,0.500,3.981 MHz,1.327E-10
0.000,0.500,5.012 MHz,1.671E-10
0.000,0.500,6.310 MHz,2.104E-10
0.000,0.500,7.943 MHz,2.648E-10
0.000,0.500,10.00 MHz,3.334E-10
0.000,0.500,12.59 MHz,4.197E-10
0.000,0.500,15.85 MHz,5.284E-10
0.000,0.500,19.95 MHz,6.652E-10
0.000,0.500,25.12 MHz,8.374E-10
0.000,0.500,31.62 MHz,1.054E-9
0.000,0.500,39.81 MHz,1.327E-9
0.000,0.500,50.12 MHz,1.671E-9
0.000,0.500,63.10 MHz,2.104E-9
0.000,0.500,79.43 MHz,2.648E-9
0.000,0.500,100.0 MHz,3.334E-9
0.000,0.500,125.9 MHz,4.197E-9
0.000,0.500,158.5 MHz,5.284E-9
0.000,0.500,199.5 MHz,6.652E-9
0.000,0.500,251.2 MHz,8.374E-9
0.000,0.500,316.2 MHz,1.054E-8
0.000,0.500,398.1 MHz,1.327E-8
0.000,0.500,501.2 MHz,1.671E-8
0.000,0.500,631.0 MHz,2.104E-8
0.000,0.500,794.3 MHz,2.648E-8
0.000,0.500,1.000 GHz,3.334E-8
0.000,0.500,1.259 GHz,4.197E-8
0.000,0.500,1.585 GHz,5.284E-8
0.000,0.500,1.995 GHz,6.652E-8
0.000,0.500,2.512 GHz,8.374E-8
0.000,0.500,3.162 GHz,1.054E-7
0.000,0.500,3.981 GHz,1.327E-7
0.000,0.500,5.012 GHz,1.671E-7
0.000,0.500,6.310 GHz,2.104E-7
0.000,0.500,7.943 GHz,2.648E-7
0.000,0.500,10.00 GHz,3.334E-7
0.000,0.550,100.0 kHz,4.575E-12
0.000,0.550,125.9 kHz,5.376E-12
0.000,0.550,158.5 kHz,6.445E-12
0.000,0.550,199.5 kHz,7.847E-12
0.000,0.550,251.2 kHz,9.660E-12
0.000,0.550,316.2 kHz,1.198E-11
0.000,0.550,398.1 kHz,1.495E-11
0.000,0.550,501.2 kHz,1.870E-11
0.000,0.550,631.0 kHz,2.345E-11
0.000,0.550,794.3 kHz,2.945E-11
0.000,0.550,1.000 MHz,3.702E-11
0.000,0.550,1.259 MHz,4.656E-11
0.000,0.550,1.585 MHz,5.858E-11
0.000,0.550,1.995 MHz,7.372E-11
0.000,0.550,2.512 MHz,9.279E-11
0.000,0.550,3.162 MHz,1.168E-10
0.000,0.550,3.981 MHz,1.470E-10
0.000,0.550,5.012 MHz,1.851E-10
0.000,0.550,6.310 MHz,2.330E-10
0.000,0.550,7.943 MHz,2.933E-10
0.000,0.550,10.00 MHz,3.692E-10
0.000,0.550,12.59 MHz,4.648E-10
0.000,0.550,15.85 MHz,5.852E-10
0.000,0.550,19.95 MHz,7.367E-10
0.000,0.550,25.12 MHz,9.275E-10
0.000,0.550,31.62 MHz,1.168E-9
0.000,0.550,39.81 MHz,1.470E-9
0.000,0.550,50.12 MHz,1.851E-9
0.000,0.550,63.10 MHz,2.330E-9
0.000,0.550,79.43 MHz,2.933E-9
0.000,0.550,100.0 MHz,3.692E-9
0.000,0.550,125.9 MHz,4.648E-9
0.000,0.550,158.5 MHz,5.852E-9
0.000,0.550,199.5 MHz,7.367E-9
0.000,0.550,251.2 MHz,9.275E-9
0.000,0.550,316.2 MHz,1.168E-8
0.000,0.550,398.1 MHz,1.470E-8
0.000,0.550,501.2 MHz,1.851E-8
0.000,0.550,631.0 MHz,2.330E-8
0.000,0.550,794.3 MHz,2.933E-8
0.000,0.550,1.000 GHz,3.692E-8
0.000,0.550,1.259 GHz,4.648E-8
