freq, current
285.009999999999990905 MHz,0.01411147048980723913 - j0.10987061891979393868 
286.009999999999990905 MHz,0.01401455242605052776 - j0.10949886860827474921 
287.009999999999990905 MHz,0.01391862402150784335 - j0.10912958256103431898 
288.009999999999990905 MHz,0.01382367192089751368 - j0.10876273680698055057 
289.009999999999990905 MHz,0.01372968299221807853 - j0.10839830767850912319 
290.009999999999990905 MHz,0.01363664432231195475 - j0.10803627180683163245 
291.009999999999990905 MHz,0.01354454321252386226 - j0.10767660611738681664 
292.009999999999990905 MHz,0.01345336717446598412 - j0.10731928782533402267 
293.009999999999990905 MHz,0.01336310392587843933 - j0.10696429443112651092 
294.009999999999990905 MHz,0.01327374138657792975 - j0.10661160371616365539 
295.009999999999990905 MHz,0.01318526767450665764 - j0.10626119373852022099 
296.009999999999990905 MHz,0.01309767110186384892 - j0.10591304282875026177 
297.009999999999990905 MHz,0.01301094017133221613 - j0.10556712958576662531 
298.009999999999990905 MHz,0.01292506357237956094 - j0.10522343287279158075 
299.009999999999990905 MHz,0.01284003017764990748 - j0.10488193181337912563 
300.009999999999990905 MHz,0.01275582903943725359 - j0.10454260578750693145 
301.009999999999990905 MHz,0.01267244938622920543 - j0.10420543442773677612 
302.009999999999990905 MHz,0.01258988061933806121 - j0.10387039761544163141 
303.009999999999990905 MHz,0.01250811230959468327 - j0.10353747547709876708 
304.009999999999990905 MHz,0.01242713419412874026 - j0.10320664838064701196 
305.009999999999990905 MHz,0.01234693617320923274 - j0.10287789693190743656 
306.009999999999990905 MHz,0.01226750830715773836 - j0.10255120197106513957 
307.009999999999990905 MHz,0.01218884081333081702 - j0.10222654456921302646 
308.009999999999990905 MHz,0.01211092406316678464 - j0.10190390602495383310 
309.009999999999990905 MHz,0.01203374857929698921 - j0.10158326786106137984 
310.009999999999990905 MHz,0.01195730503272133052 - j0.10126461182119876614 
311.009999999999990905 MHz,0.01188158424003934663 - j0.10094791986669202077 
312.009999999999990905 MHz,0.01180657716074856242 - j0.10063317417336020698 
313.009999999999990905 MHz,0.01173227489459647589 - j0.10032035712839823538 
314.009999999999990905 MHz,0.01165866867899015974 - j0.10000945132731345333 
315.009999999999990905 MHz,0.01158574988645887094 - j0.09970043957091324904 
316.009999999999990905 MHz,0.01151351002217956658 - j0.09939330486234450313 
317.009999999999990905 MHz,0.01144194072153866502 - j0.09908803040418256991 
318.009999999999990905 MHz,0.01137103374776675044 - j0.09878459959556916414 
319.009999999999990905 MHz,0.01130078098960225243 - j0.09848299602939863950 
320.009999999999990905 MHz,0.01123117445901854194 - j0.09818320348955096588 
321.009999999999990905 MHz,0.01116220628899615430 - j0.09788520594817150255 
322.009999999999990905 MHz,0.01109386873133238680 - j0.09758898756299555499 
323.009999999999990905 MHz,0.01102615415451358057 - j0.09729453267471831202 
324.009999999999990905 MHz,0.01095905504161398536 - j0.09700182580440730451 
325.009999999999990905 MHz,0.01089256398825195517 - j0.09671085165095856528 
326.009999999999990905 MHz,0.01082667370057884514 - j0.09642159508859501904 
327.009999999999990905 MHz,0.01076137699331613379 - j0.09613404116440506242 
328.009999999999990905 MHz,0.01069666678783046283 - j0.09584817509592317986 
329.009999999999990905 MHz,0.01063253611024593710 - j0.09556398226874843194 
330.009999999999990905 MHz,0.01056897808959881419 - j0.09528144823420392484 
331.009999999999990905 MHz,0.01050598595602782355 - j0.09500055870703284777 
332.009999999999990905 MHz,0.01044355303900176835 - j0.09472129956313322940 
333.009999999999990905 MHz,0.01038167276558450702 - j0.09444365683732915129 
334.009999999999990905 MHz,0.01032033865873029088 - j0.09416761672117798798 
335.009999999999990905 MHz,0.01025954433562082518 - j0.09389316556081311882 
336.009999999999990905 MHz,0.01019928350602920461 - j0.09362028985482208354 
337.009999999999990905 MHz,0.01013954997072104292 - j0.09334897625215855810 
338.009999999999990905 MHz,0.01008033761988527677 - j0.09307921155008730407 
